animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
sapo-barriga-de-fogo,0,0,1,0,0,1,0,0,1,1,0,0,4,0,1,0,5
sapo-cururu,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
sapo-de-chifre,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,1,5
abelha,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
joaninha,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
mariposa,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
pirilampo,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
vespa,0,0,1,0,1,0,1,0,0,1,1,0,6,0,0,0,6
bicho-pau,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,7
caracol-da-mata-atlantica,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
caranguejeira,1,0,1,0,0,0,1,0,0,1,1,0,8,0,0,0,7
sauva-limao,1,0,1,0,0,0,1,0,0,1,1,0,6,0,0,0,7
